RESULT
idx            이동(cm)    회전(°)  판정
bd3b9@0          0.2     1.3  정지
edd68@0          1.5     3.7  정지
67084@0          6.1     7.0  움직임
c1e36@0         23.2    44.3  움직임
29266@1          0.1     0.6  정지
4fd8e@0          3.4   179.9  움직임
65ef0@4          9.6    12.9  움직임
86fb0@5         13.7    75.7  움직임
86fb0@10        10.6    15.4  움직임
cd0ae@1          1.3    10.8  정지
d01e2@0          2.0    10.0  정지
0b666@0         21.8    20.2  움직임
0b666@5         28.9    30.5  움직임
0b666@9         10.8    10.8  움직임
90724@0          2.0     3.3  정지
a4e00@0          4.3    15.5  움직임
a4e00@3         11.5    11.7  움직임
c8881@0          4.4     4.9  움직임
70982@0          0.8    27.5  움직임
a3ff7@0          1.6    10.9  정지
1e305@0         13.3    33.6  움직임
733f9@0         14.5    28.5  움직임
8ec65@0         15.2    44.4  움직임
97fc3@1          0.3     5.5  정지
97fc3@4          1.7    11.2  정지
1c03f@0          0.4     2.1  정지
211a2@2          0.3     4.0  정지
2bae9@2          1.2     5.2  정지
2bae9@17         0.4     7.6  정지
38754@0          0.3     2.2  정지
39e5e@1          1.2     5.7  정지
39e5e@18        31.2    20.7  움직임
c5685@0          1.6    19.6  움직임
d4caf@0          0.2     1.4  정지
d4caf@3          0.3     6.5  정지

정지:17 움직임:18 본체없음:0 / 35
