step,cap_deg,priv_0,priv_1,priv_2,priv_3,priv_4,priv_5,priv_6,priv_7,priv_8,priv_9,priv_10,priv_11,priv_12,priv_13,priv_14,priv_15,priv_16,priv_17,priv_18,priv_19,priv_20,priv_21,priv_22,priv_23,priv_24,priv_25,priv_26,priv_27,priv_28,priv_29,priv_30,priv_31,priv_32,priv_33,priv_34,priv_35,priv_36,priv_37,priv_38,priv_39,priv_40,priv_41,priv_42,priv_43,priv_44,priv_45,priv_46,priv_47,priv_48,priv_49,priv_50,priv_51,priv_52,priv_53,priv_54,priv_55,priv_56,priv_57,priv_58,priv_59,prop_0,prop_1,prop_2,prop_3,prop_4,prop_5,prop_6,prop_7,prop_8,prop_9,prop_10,prop_11,prop_12,prop_13,prop_14,prop_15,prop_16,prop_17,prop_18,prop_19,prop_20,prop_21,prop_22,prop_23,prop_24,prop_25,prop_26,prop_27,prop_28,prop_29,prop_30,prop_31,prop_32,prop_33,prop_34,prop_35,prop_36,prop_37,prop_38,prop_39,prop_40,prop_41,prop_42,prop_43,prop_44,prop_45,prop_46,prop_47,prop_48,prop_49,prop_50,prop_51,prop_52,prop_53,prop_54,prop_55,prop_56,prop_57,prop_58,prop_59,prop_60,prop_61,prop_62,prop_63,prop_64,prop_65,prop_66,prop_67,prop_68,prop_69,prop_70,prop_71,prop_72,prop_73,prop_74,prop_75,targ_0,targ_1,targ_2,targ_3,targ_4,targ_5,targ_6,targ_7,targ_8,targ_9,targ_10,targ_11,targ_12,targ_13,targ_14,targ_15,targ_16,targ_17,targ_18,targ_19,targ_20,targ_21,targ_22,targ_23,targ_24,targ_25,targ_26,targ_27,targ_28,targ_29,targ_30,targ_31,targ_32,targ_33,targ_34,targ_35,targ_36,targ_37,targ_38,targ_39,targ_40,targ_41,targ_42,targ_43,targ_44,targ_45,targ_46,targ_47,targ_48,targ_49,targ_50,targ_51,targ_52,targ_53,targ_54,targ_55,targ_56,targ_57,targ_58,targ_59,targ_60,targ_61,targ_62,targ_63,targ_64
0,0.0000,-0.220355,-0.213539,0.277729,0.066289,0.039613,-0.087480,-0.204237,0.474864,1.281453,-0.171551,0.276284,0.154208,0.543580,0.015375,0.190511,-0.140460,-0.024232,-0.078515,-2.731507,-0.678461,4.099440,-0.060135,0.044754,-0.044048,-0.131366,0.000004,-0.000000,0.000029,1.000000,-0.038852,0.069910,-0.002599,-0.002270,-0.000034,0.005106,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.044722,-0.044097,-0.238757,0.000000,2.750000,3.187261,0.218608,-1.962487,0.244040,-1.626027,-2.231462,0.089491,1.239838,-0.025216,-0.172740,1.264665,0.010253,0.410608,-0.161560,0.200316,1.258002,0.037079,-0.146454,0.369194,1.603863,-0.036612,-0.227072,-0.998957,0.976200,-0.381751,0.970370,-0.055202,-0.613642,0.995998,0.324949,0.999682,0.985117,0.301372,0.999947,0.916878,0.986978,0.980004,0.307718,0.999313,0.989295,0.932618,-0.033061,0.999330,0.974330,-0.045653,0.216871,-0.924265,0.241625,-0.998475,-0.789584,0.089372,0.945731,-0.025214,-0.171882,0.953507,0.010253,0.399167,-0.160858,0.198979,0.951478,0.037070,-0.145931,0.360864,0.999453,-0.036603,-0.225125,-0.642162,-0.296045,0.612976,-0.352486,0.114771,-0.062269,0.048672,0.052132,-0.133133,-0.305237,0.029491,-0.056378,0.006717,-0.114771,0.062269,-0.048672,-0.011715,-0.069911,-0.240721,0.968002,-0.052132,0.133133,0.305237,0.145347,0.136928,0.136513,0.088336,0.061192,0.057874,0.166983,0.144131,0.130441,0.083583,0.054025,0.145302,0.145219,0.097527,0.068450,0.058192,0.165381,0.165893,0.114102,0.079269,0.053137,0.000000,0.000000,1.000000,0.000000,-0.044568,0.043425,0.131353,0.000000,0.000000,0.000000,0.000000,0.000000,0.111111,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.222222
1,0.0033,-0.496855,-0.149521,0.168521,0.452448,-0.091029,-0.167570,-0.154030,0.444141,0.714376,-0.130911,3.457670,-0.009699,-0.186893,0.005384,-0.020205,0.176390,-0.015695,-0.472500,-3.105904,0.217295,3.579943,-0.004650,0.043071,-0.041942,-0.132038,0.000013,0.000000,0.002070,0.999998,-0.107684,0.030735,-0.005851,-0.005840,-0.000120,-0.106264,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.043039,-0.041989,-0.239429,0.001531,2.750000,3.180319,0.216472,-1.960038,0.251037,-1.624656,-2.234794,0.086663,1.247099,-0.021106,-0.175284,1.287603,0.009389,0.396115,-0.161614,0.200467,1.259539,0.035746,-0.155223,0.328384,1.603888,-0.072936,-0.226951,-0.999250,0.976661,-0.379487,0.968655,-0.053834,-0.616270,0.996247,0.318074,0.999777,0.984677,0.279424,0.999956,0.922567,0.986969,0.979974,0.306256,0.999361,0.987977,0.946565,-0.033086,0.997341,0.974357,-0.038716,0.214785,-0.925197,0.248409,-0.998550,-0.787535,0.086555,0.948066,-0.021104,-0.174388,0.960168,0.009389,0.385837,-0.160911,0.199127,0.951949,0.035739,-0.154601,0.322514,0.999453,-0.072872,-0.225008,-0.646265,-0.292062,0.612087,-0.349843,0.141008,-0.176699,0.057130,-0.058530,-0.483497,-0.670394,0.027464,-0.054380,0.006079,-0.141008,0.176699,-0.057130,-0.010244,-0.073207,-0.245744,0.966512,0.058530,0.483497,0.670394,0.144733,0.137363,0.137019,0.088847,0.061518,0.057816,0.166833,0.143834,0.130103,0.083512,0.054845,0.144689,0.144637,0.096728,0.067415,0.057433,0.163932,0.164445,0.113071,0.079131,0.055454,0.002778,0.017452,0.999848,0.000000,-0.042542,0.041427,0.131991,0.000000,0.000000,0.000000,0.000000,0.000000,0.111111,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.222222
2,0.2372,-0.735860,0.138446,-0.078748,0.633069,0.102641,0.180840,0.138390,0.964990,1.052540,0.073352,2.363007,-0.199062,-0.850087,0.007522,-0.290860,0.237304,-0.105717,-0.838868,-2.670734,0.487357,3.626215,-0.052423,0.040910,-0.038537,-0.132654,0.000003,-0.000000,0.001828,0.999998,-0.096731,0.192574,0.003185,-0.005238,-0.000088,-0.160034,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040878,-0.038586,-0.240045,0.003063,2.750000,3.168637,0.218039,-1.960601,0.262023,-1.619300,-2.232536,0.087779,1.256762,-0.017565,-0.173883,1.319031,0.004485,0.390538,-0.161419,0.204285,1.259646,0.038804,-0.172016,0.294258,1.611659,-0.089345,-0.226956,-0.999634,0.976323,-0.380008,0.965868,-0.048485,-0.614490,0.996150,0.308898,0.999846,0.984920,0.249114,0.999990,0.924704,0.987000,0.979206,0.306154,0.999247,0.985242,0.957018,-0.040852,0.996011,0.974356,-0.027041,0.216316,-0.924983,0.259035,-0.998824,-0.788925,0.087666,0.951095,-0.017565,-0.173008,0.968474,0.004485,0.380686,-0.160719,0.202867,0.951982,0.038794,-0.171169,0.290029,0.999165,-0.089226,-0.225013,-0.652106,-0.288797,0.609051,-0.347003,0.090666,-0.257958,0.049609,0.103823,-0.681931,-0.545645,0.025630,-0.050924,0.005477,-0.090666,0.257958,-0.049609,-0.006461,-0.078132,-0.250341,0.964978,-0.103823,0.681931,0.545645,0.143805,0.137753,0.137538,0.089528,0.062268,0.058267,0.166388,0.143134,0.129327,0.082711,0.054200,0.143764,0.143792,0.095775,0.066267,0.057011,0.161946,0.162498,0.111321,0.077826,0.055379,0.005556,0.034899,0.999391,0.000000,-0.040707,0.037972,0.132593,0.000000,0.000000,0.000000,0.000000,0.000000,0.222222,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.111111,0.222222
3,0.2094,-0.798889,0.500711,-0.163182,0.704972,0.314243,0.353086,-4.011590,0.792321,0.794543,0.400533,3.565056,-0.534225,0.437194,0.019477,0.579802,-0.047453,0.523484,-0.693172,-2.895394,0.501883,2.218142,0.006238,0.040732,-0.035008,-0.133074,0.000020,0.000000,0.003708,0.999993,-0.109146,0.087891,-0.003090,-0.006323,-0.000119,0.442148,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040700,-0.035054,-0.240465,0.004594,2.750000,3.154322,0.224560,-1.965240,0.275093,-1.609673,-2.224711,0.089162,1.267035,-0.015756,-0.166146,1.344800,-0.007102,0.377345,-0.160949,0.214597,1.255005,0.047574,-0.185081,0.271776,1.611220,-0.092789,-0.226817,-0.999919,0.974892,-0.384295,0.962400,-0.038867,-0.608298,0.996028,0.299111,0.999876,0.986229,0.224077,0.999975,0.929646,0.987076,0.977062,0.310569,0.998869,0.982921,0.963296,-0.040413,0.995698,0.974387,-0.012729,0.222677,-0.923210,0.271636,-0.999244,-0.793709,0.089043,0.954218,-0.015756,-0.165383,0.974571,-0.007102,0.368454,-0.160255,0.212954,0.950551,0.047556,-0.184026,0.268442,0.999183,-0.092656,-0.224877,-0.658862,-0.287231,0.603977,-0.344400,0.023846,-0.259510,0.132497,0.289165,-1.026598,-0.414312,0.024851,-0.046803,0.005060,-0.023846,0.259510,-0.132497,-0.000478,-0.083933,-0.253432,0.963705,-0.289165,1.026598,0.414312,0.142939,0.138080,0.138027,0.090266,0.063259,0.058959,0.165849,0.142275,0.128385,0.081965,0.054228,0.142904,0.143048,0.095201,0.065708,0.057265,0.160105,0.160732,0.109595,0.076289,0.054670,0.008333,0.052336,0.998630,0.000000,-0.039928,0.033850,0.133010,0.000000,0.111111,0.000000,0.222222,0.000000,0.555556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.111111,0.222222
4,0.4249,-0.913688,0.705299,-0.451925,0.589698,0.455456,0.574941,-3.665382,1.021959,0.554300,0.822288,3.151712,-0.922419,-1.484857,0.005475,0.840967,-0.320112,1.082420,-0.522545,-2.932529,1.214289,3.046689,-0.009722,0.040621,-0.030758,-0.133706,0.000000,-0.000000,0.002902,0.999996,-0.148998,0.093870,-0.005248,-0.008420,-0.000174,0.065735,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040589,-0.030808,-0.241097,0.006125,2.750000,3.139259,0.235353,-1.971802,0.285237,-1.596195,-2.213078,0.090442,1.280297,-0.023412,-0.150252,1.364012,-0.021870,0.366822,-0.160569,0.232604,1.246992,0.066016,-0.195158,0.247586,1.612944,-0.089205,-0.226801,-0.999997,0.972432,-0.390344,0.959595,-0.025396,-0.599024,0.995913,0.286431,0.999726,0.988733,0.205314,0.999761,0.933472,0.987136,0.973069,0.318175,0.997822,0.981017,0.969507,-0.042136,0.996024,0.974391,0.002333,0.233186,-0.920669,0.281385,-0.999677,-0.800731,0.090319,0.958101,-0.023410,-0.149687,0.978696,-0.021868,0.358650,-0.159880,0.230512,0.948032,0.065968,-0.193922,0.245064,0.999112,-0.089087,-0.224862,0.665424,0.287833,-0.597956,0.341777,-0.076135,-0.290953,0.058742,0.381975,-0.828390,-0.288266,0.025456,-0.042790,0.004421,0.076135,0.290953,-0.058742,-0.007064,0.089105,0.254897,-0.962828,-0.381975,0.828390,0.288266,0.142812,0.138725,0.138843,0.091183,0.064455,0.059605,0.165756,0.141776,0.127766,0.081367,0.053815,0.142783,0.143068,0.095636,0.066143,0.058030,0.159295,0.160028,0.109087,0.076097,0.055186,0.011111,0.069756,0.997564,0.000000,-0.040533,0.029837,0.133649,0.000000,0.111111,0.000000,0.111111,0.000000,0.777778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.333333
5,0.3325,-1.001944,0.873788,-0.601055,0.631069,0.529562,0.821469,1.639616,0.695132,1.631154,1.231402,1.855886,-0.924723,-1.952587,0.013341,1.078574,0.205547,1.650857,-0.371744,-2.458010,1.480981,2.755333,-0.056818,0.040603,-0.025500,-0.134318,-0.000035,-0.000001,0.011839,0.999930,-0.105892,0.121302,-0.008835,-0.005855,-0.000050,0.807055,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040570,-0.025557,-0.241709,0.007656,2.750000,3.122453,0.249287,-1.981025,0.296898,-1.581019,-2.198114,0.110536,1.299462,-0.048323,-0.126482,1.381549,-0.035649,0.353477,-0.160738,0.255323,1.237407,0.116978,-0.202464,0.220150,1.613659,-0.088193,-0.227065,-0.999817,0.969089,-0.398819,0.956249,-0.010223,-0.586975,0.993897,0.268017,0.998833,0.992012,0.188120,0.999365,0.938175,0.987109,0.967582,0.327247,0.993166,0.979574,0.975865,-0.042849,0.996113,0.974331,0.019138,0.246713,-0.917030,0.292556,-0.999948,-0.809605,0.110311,0.963414,-0.048305,-0.126145,0.982146,-0.035642,0.346162,-0.160047,0.252558,0.944939,0.116712,-0.201083,0.218376,0.999082,-0.088079,-0.225118,0.672465,0.288909,-0.590658,0.339772,-0.115902,-0.319874,0.050788,0.391322,-0.903880,-0.115526,0.026730,-0.038292,0.003845,0.115902,0.319874,-0.050788,-0.015377,0.095267,0.255419,-0.962003,-0.391322,0.903880,0.115526,0.142850,0.139520,0.139850,0.092476,0.066748,0.061874,0.165708,0.141212,0.127055,0.080685,0.053390,0.142828,0.143298,0.096535,0.066403,0.057253,0.158636,0.159515,0.108851,0.076332,0.056457,0.013889,0.087156,0.996195,0.000000,-0.041807,0.025339,0.134225,0.000000,0.111111,0.000000,0.111111,0.000000,0.777778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.222222
6,1.3567,-0.820572,0.970246,-0.709902,0.393640,0.629339,0.892397,1.664843,2.054958,2.205256,1.538171,0.301793,-0.672183,-1.461338,-0.039457,1.372224,-0.730313,1.366994,-0.276168,-0.417635,1.584939,1.902746,-0.061618,0.043261,-0.021583,-0.134204,-0.000035,-0.000002,0.034019,0.999421,-0.038909,0.027795,-0.005624,-0.002020,-0.000194,2.425703,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.043226,-0.021639,-0.241595,0.009188,2.750000,3.106709,0.265410,-1.992882,0.305066,-1.566035,-2.180942,0.142787,1.327682,-0.027011,-0.096736,1.388071,-0.047051,0.330526,-0.160895,0.282405,1.226097,0.141971,-0.208065,0.220026,1.613620,-0.075921,-0.227083,-0.999392,0.964985,-0.409664,0.953827,0.004761,-0.572987,0.989823,0.240727,0.999635,0.995325,0.181710,0.998893,0.945872,0.987084,0.960388,0.337914,0.989939,0.978432,0.975892,-0.042810,0.997119,0.974327,0.034876,0.262305,-0.912237,0.300356,-0.999989,-0.819565,0.142302,0.970593,-0.027007,-0.096585,0.983352,-0.047034,0.324541,-0.160202,0.278666,0.941177,0.141494,-0.206567,0.218255,0.999083,-0.075848,-0.225136,0.677755,0.291435,-0.584042,0.338538,-0.190911,-0.233225,0.006103,0.463430,-0.678285,0.156328,0.029378,-0.034154,0.003941,0.190911,0.233225,-0.006103,-0.022963,0.099814,0.254260,-0.961697,-0.463430,0.678285,-0.156328,0.142886,0.139768,0.140386,0.093293,0.067257,0.060539,0.165193,0.140064,0.125734,0.079566,0.053249,0.142876,0.143620,0.097879,0.068244,0.059717,0.158435,0.159554,0.108833,0.076205,0.056327,0.016667,0.104528,0.994522,0.000000,-0.044455,0.021201,0.134129,0.000000,0.111111,0.000000,0.000000,0.000000,0.777778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.111111,0.000000,0.000000,0.000000,0.222222
7,3.8990,-0.444959,0.934571,-0.736784,0.009053,0.706556,0.887502,1.511083,0.760856,0.989167,1.770267,-0.785839,-0.208876,-0.682533,0.022970,1.718608,-0.351501,1.546221,-0.231191,-0.598994,1.254864,1.660122,-0.009493,0.048200,-0.019598,-0.132926,0.000002,0.000000,0.037860,0.999283,-0.047018,0.042203,0.003080,-0.002531,-0.000214,0.072183,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.048164,-0.019645,-0.240318,0.010719,2.750000,3.096701,0.281301,-2.005533,0.307532,-1.551521,-2.163386,0.172127,1.349625,-0.012147,-0.062480,1.372234,-0.050394,0.320300,-0.160931,0.312665,1.214978,0.169091,-0.212610,0.241639,1.612380,-0.048276,-0.227022,-0.998993,0.960695,-0.421172,0.953083,0.019274,-0.558511,0.985223,0.219372,0.999926,0.998049,0.197260,0.998730,0.949141,0.987078,0.951517,0.348357,0.985738,0.977484,0.970947,-0.041572,0.998835,0.974341,0.044877,0.277606,-0.906981,0.302708,-0.999814,-0.829497,0.171278,0.975641,-0.012147,-0.062440,0.980351,-0.050373,0.314851,-0.160238,0.307595,0.937362,0.168287,-0.211012,0.239295,0.999136,-0.048257,-0.225077,0.680146,0.296922,-0.578578,0.338357,-0.249868,-0.079105,-0.060402,0.549895,-0.251958,0.540563,0.033058,-0.032114,0.004953,0.249868,0.079105,0.060402,-0.029758,0.101312,0.250167,-0.962428,-0.549895,0.251958,-0.540563,0.142843,0.139032,0.139829,0.092714,0.066292,0.058033,0.164368,0.138914,0.124511,0.078475,0.052913,0.142841,0.143779,0.098901,0.069466,0.061133,0.158972,0.160280,0.109442,0.076404,0.055599,0.019444,0.121869,0.992546,0.000000,-0.048135,0.019161,0.133117,0.000000,0.000000,0.000000,0.000000,0.000000,0.777778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.111111,0.000000,0.000000,0.000000,0.222222
8,4.3395,0.041715,0.930599,-0.606085,0.056820,0.726573,0.907721,1.230040,-0.242902,-2.075360,1.861543,-3.305010,0.651718,2.216545,0.050111,1.864182,0.177924,1.744659,-0.182509,1.951175,0.253240,0.069907,0.008741,0.051357,-0.020066,-0.132238,-0.000002,-0.000000,0.037191,0.999308,-0.015634,0.008334,0.005951,-0.000972,-0.000087,-0.015871,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.051322,-0.020114,-0.239629,0.012250,2.750000,3.094840,0.296573,-2.016765,0.309986,-1.536907,-2.145257,0.196245,1.344999,-0.035687,-0.026435,1.356657,-0.044345,0.316766,-0.159816,0.346510,1.209136,0.198675,-0.216202,0.269968,1.610614,-0.056209,-0.226704,-0.998907,0.956344,-0.431332,0.952338,0.033883,-0.543383,0.980806,0.223884,0.999363,0.999651,0.212507,0.999017,0.950248,0.987257,0.940564,0.353827,0.980329,0.976719,0.963780,-0.039807,0.998421,0.974413,0.046736,0.292245,-0.902193,0.305045,-0.999426,-0.839485,0.194988,0.974616,-0.035680,-0.026432,0.977160,-0.044330,0.311495,-0.159137,0.339617,0.935311,0.197371,-0.214522,0.266700,0.999207,-0.056180,-0.224767,0.681456,0.305124,-0.571218,0.340921,-0.219422,0.094397,-0.001524,0.551039,-0.440534,1.053639,0.036383,-0.032989,0.005585,0.219422,-0.094397,0.001524,-0.037042,0.103233,0.241790,-0.964110,-0.551039,0.440534,-1.053639,0.143534,0.138644,0.139235,0.091929,0.065911,0.057302,0.164935,0.139911,0.125599,0.079791,0.054528,0.143525,0.144292,0.099281,0.068863,0.058854,0.160576,0.161754,0.110704,0.077355,0.055734,0.022222,0.139173,0.990268,0.000000,-0.051460,0.020037,0.132485,0.000000,0.000000,0.000000,0.000000,0.000000,0.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.222222
9,4.2627,0.033940,0.773161,-0.594444,-0.027709,0.623380,0.896229,1.709584,3.206429,-4.301646,1.859192,-3.085677,1.072809,2.308264,0.124777,1.591954,0.623273,-6.669736,-0.160287,-0.665466,0.222971,1.010966,0.035611,0.054214,-0.021378,-0.131407,0.000000,-0.000000,0.037105,0.999311,0.062391,-0.062872,0.002430,0.003472,0.000312,0.024800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.054179,-0.021426,-0.238798,0.013781,2.750000,3.094892,0.309421,-2.026216,0.309979,-1.523165,-2.126323,0.215533,1.337459,-0.082712,0.009584,1.341090,-0.025572,0.335514,-0.159438,0.372743,1.195690,0.206990,-0.218977,0.296754,1.610495,-0.066742,-0.226565,-0.998910,0.952510,-0.439839,0.952340,0.047613,-0.527391,0.976863,0.231226,0.996581,0.999954,0.227691,0.999673,0.944241,0.987317,0.931332,0.366371,0.978654,0.976120,0.956291,-0.039688,0.997774,0.974444,0.046683,0.304507,-0.898077,0.305039,-0.998866,-0.849623,0.213868,0.972900,-0.082618,0.009584,0.973733,-0.025570,0.329254,-0.158763,0.364172,0.930469,0.205515,-0.217231,0.292418,0.999212,-0.066692,-0.224632,0.681295,0.314387,-0.564453,0.344078,-0.199983,0.075355,-0.052130,0.460457,-0.210421,1.018732,0.039168,-0.034373,0.006403,0.199983,-0.075355,0.052130,-0.043646,0.103833,0.232123,-0.966143,-0.460457,0.210421,-1.018732,0.144005,0.137991,0.138301,0.090672,0.065553,0.057368,0.165423,0.141022,0.126853,0.080775,0.054511,0.143987,0.144515,0.099455,0.068749,0.058282,0.162016,0.163008,0.111796,0.078212,0.055862,0.025000,0.156434,0.987688,0.000000,-0.054245,0.021421,0.131667,0.000000,0.000000,0.000000,0.000000,0.000000,0.555556,0.111111,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.111111
