step,cap_deg,raw_th_c_d,raw_th_c_p,raw_th_ny_d,raw_th_ny_p,raw_th_py_d,raw_th_py_p,raw_ix_c_d,raw_ix_c_p,raw_ix_ny_d,raw_ix_ny_p,raw_ix_py_d,raw_ix_py_p,raw_mi_c_d,raw_mi_c_p,raw_mi_ny_d,raw_mi_ny_p,raw_mi_py_d,raw_mi_py_p,raw_ri_c_d,raw_ri_c_p,raw_ri_ny_d,raw_ri_ny_p,raw_ri_py_d,raw_ri_py_p,filt_th_c_d,filt_th_c_p,filt_th_ny_d,filt_th_ny_p,filt_th_py_d,filt_th_py_p,filt_ix_c_d,filt_ix_c_p,filt_ix_ny_d,filt_ix_ny_p,filt_ix_py_d,filt_ix_py_p,filt_mi_c_d,filt_mi_c_p,filt_mi_ny_d,filt_mi_ny_p,filt_mi_py_d,filt_mi_py_p,filt_ri_c_d,filt_ri_c_p,filt_ri_ny_d,filt_ri_ny_p,filt_ri_py_d,filt_ri_py_p,lvl_th_c_d,lvl_th_c_p,lvl_th_ny_d,lvl_th_ny_p,lvl_th_py_d,lvl_th_py_p,lvl_ix_c_d,lvl_ix_c_p,lvl_ix_ny_d,lvl_ix_ny_p,lvl_ix_py_d,lvl_ix_py_p,lvl_mi_c_d,lvl_mi_c_p,lvl_mi_ny_d,lvl_mi_ny_p,lvl_mi_py_d,lvl_mi_py_p,lvl_ri_c_d,lvl_ri_c_p,lvl_ri_ny_d,lvl_ri_ny_p,lvl_ri_py_d,lvl_ri_py_p,tot_th,tot_ix,tot_mi,tot_ri
0,0.000,0.00002,0.00002,0.00000,0.00000,0.00076,0.07572,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.96412,0.20474,0.00000,0.00000,0.87678,0.27218,0.00001,0.00001,0.00000,0.00000,0.00023,0.02272,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.28923,0.06142,0.00000,0.00000,0.26304,0.08165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.71208,0.00000,3.41677,2.31783
0,0.000,0.00000,1.29224,0.00000,18.37055,0.00000,23.81448,0.01582,0.00000,0.00915,0.00004,0.00000,0.00000,0.00000,0.02813,0.00000,0.00000,1.31538,0.00108,0.00000,0.00000,0.00000,0.00000,1.67939,4.75235,0.00000,0.38768,0.00000,5.51116,0.00016,7.16025,0.00475,0.00000,0.00274,0.00001,0.00000,0.00000,0.00000,0.00844,0.00000,0.00000,0.39461,0.00033,0.20246,0.04300,0.00000,0.00000,0.68794,1.48286,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43.47727,0.02501,1.34460,6.43174
1,0.514,0.00000,0.59948,0.00000,23.07540,0.00000,20.74065,0.00000,0.00000,0.63545,0.01951,0.00000,0.00000,0.00000,0.02433,0.00000,0.00000,1.16922,0.00194,0.00000,0.00000,0.00000,0.00000,1.04013,2.56117,0.00000,0.45122,0.00000,10.78043,0.00011,11.23437,0.00332,0.00000,0.19256,0.00586,0.00000,0.00000,0.00000,0.01321,0.00000,0.00000,0.62700,0.00081,0.14172,0.03010,0.00000,0.00000,0.79360,1.80636,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44.41553,0.65497,1.19549,3.60130
2,1.423,0.00000,0.23004,0.00000,27.78308,0.00000,15.97437,0.00000,0.00194,0.00000,1.80329,0.00000,0.00000,0.00000,0.02919,0.00000,0.00000,2.58857,0.00769,0.00000,0.00000,0.00000,0.00000,0.00000,6.95425,0.00000,0.38486,0.00000,15.88123,0.00008,12.65637,0.00233,0.00058,0.13479,0.54509,0.00000,0.00000,0.00000,0.01800,0.00000,0.00000,1.21547,0.00287,0.09921,0.02107,0.00000,0.00000,0.55552,3.35072,0,0,0,8,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,43.98749,1.80523,2.62545,6.95425
3,2.433,0.00000,0.04957,0.00000,33.40203,0.00000,9.20866,0.00000,0.00831,0.00000,1.27972,0.00000,0.00000,0.00000,1.43702,0.00000,0.00000,0.00000,1.47800,0.00000,0.25943,0.00000,0.00000,0.00000,6.10045,0.00000,0.28428,0.00000,21.13747,0.00006,11.62206,0.00163,0.00290,0.09435,0.76548,0.00000,0.00000,0.00000,0.44370,0.00000,0.00000,0.85083,0.44541,0.06945,0.09258,0.00000,0.00000,0.38886,4.17564,0,0,0,9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,42.66026,1.28803,2.91502,6.35988
4,3.244,0.00000,0.03194,0.00000,33.23388,0.00000,6.95379,0.00000,0.07127,0.00000,2.33339,0.00000,0.00000,0.00000,1.12316,0.00000,0.00000,0.00000,3.20933,0.00000,0.18797,0.00000,0.00000,0.00000,7.20477,0.00000,0.20858,0.00000,24.76639,0.00004,10.22157,0.00114,0.02341,0.06605,1.23585,0.00000,0.00000,0.00000,0.64754,0.00000,0.00000,0.59558,1.27459,0.04861,0.12119,0.00000,0.00000,0.27220,5.08438,0,0,0,9,0,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,40.21961,2.40466,4.33249,7.39273
5,3.596,0.00000,0.44048,0.00000,2.13622,0.00000,4.70715,0.00000,0.30377,0.00000,3.57461,0.00000,0.00000,0.00000,1.69289,0.00000,0.00000,0.00000,7.65712,0.00000,0.30494,0.00000,0.00000,0.00000,8.00488,0.00000,0.27815,0.00000,17.97734,0.00003,8.56725,0.00080,0.10752,0.04623,1.93748,0.00000,0.00000,0.00000,0.96115,0.00000,0.00000,0.41691,3.18935,0.03403,0.17632,0.00000,0.00000,0.19054,5.96053,0,0,0,8,0,6,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,4,7.28385,3.87838,9.35001,8.30982
6,4.161,0.00000,0.02680,0.00000,0.09575,0.00000,0.24212,0.00000,0.34749,0.00000,2.95978,0.00000,0.00000,0.00000,1.23412,0.00000,0.00000,0.00000,7.81715,0.00000,0.09366,0.00000,0.00000,0.00000,5.27326,0.00000,0.20274,0.00000,12.61287,0.00002,6.06971,0.00056,0.17951,0.03236,2.24417,0.00000,0.00000,0.00000,1.04304,0.00000,0.00000,0.29183,4.57769,0.02382,0.15152,0.00000,0.00000,0.13338,5.75435,0,0,0,7,0,4,0,0,0,2,0,0,0,1,0,0,0,3,0,0,0,0,0,4,0.36467,3.30727,9.05127,5.36693
7,4.338,0.28305,0.08123,0.00000,0.36893,0.00000,0.77605,4.25025,0.00097,0.00000,0.01552,0.00000,0.00000,0.00000,0.03009,0.00000,0.00000,4.28398,0.09385,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.08492,0.16629,0.00000,8.93968,0.00001,4.48161,1.27546,0.12595,0.02265,1.57557,0.00000,0.00000,0.00000,0.73915,0.00000,0.00000,1.48948,3.23254,0.01667,0.10606,0.00000,0.00000,0.09337,4.02804,0,0,0,6,0,3,1,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,3,1.50926,4.26673,4.40791,0.00000
8,4.426,0.34527,0.08443,0.86524,0.69216,0.00000,1.00845,0.97909,0.00008,0.82501,0.00286,0.00000,0.00000,0.00000,0.05575,0.00000,0.00000,2.18574,0.23662,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.16302,0.14173,0.25957,6.46543,0.00001,3.43966,1.18655,0.08819,0.26336,1.10376,0.00000,0.00000,0.00000,0.53413,0.00000,0.00000,1.69836,2.33376,0.01167,0.07424,0.00000,0.00000,0.06536,2.81963,0,0,0,4,0,2,1,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,2,2.99554,1.80704,2.47811,0.00000
