step,unscrew_deg,arm_cmd_j1,arm_cmd_j2,arm_cmd_j3,arm_cmd_j4,arm_cmd_j5,arm_cmd_j6,hand_cmd_0,hand_cmd_1,hand_cmd_2,hand_cmd_3,hand_cmd_4,hand_cmd_5,hand_cmd_6,hand_cmd_7,hand_cmd_8,hand_cmd_9,hand_cmd_10,hand_cmd_11,hand_cmd_12,hand_cmd_13,hand_cmd_14,hand_cmd_15,arm_q_j1,arm_q_j2,arm_q_j3,arm_q_j4,arm_q_j5,arm_q_j6,hand_q_0,hand_q_1,hand_q_2,hand_q_3,hand_q_4,hand_q_5,hand_q_6,hand_q_7,hand_q_8,hand_q_9,hand_q_10,hand_q_11,hand_q_12,hand_q_13,hand_q_14,hand_q_15
0,0.0,2.980889,0.171411,-1.890911,0.170389,-1.359889,-2.002479,0.027511,0.820789,0.801289,-0.227,1.354389,0.408589,0.521989,-0.162,0.124889,0.938889,0.484911,-0.227,0.238489,1.456989,-0.010511,-0.227,2.967,0.1853,-1.9048,0.1565,-1.346,-2.0031,0.0414,0.8069,0.7874,-0.227,1.3405,0.3947,0.5081,-0.162,0.111,0.925,0.4988,-0.227,0.2246,1.4431,-0.0244,-0.2165
1,0.0,2.980889,0.15147,-1.890911,0.190296,-1.359889,-1.98797,-0.000267,0.848567,0.801289,-0.227,1.382167,0.436367,0.549767,-0.162,0.124889,0.966667,0.457133,-0.227,0.266267,1.456989,-0.010511,-0.227,2.971146,0.181682,-1.902663,0.159095,-1.349659,-2.003286,0.038103,0.807461,0.786402,-0.227,1.343508,0.398632,0.495953,-0.161945,0.114508,0.925161,0.495477,-0.226866,0.20913,1.433931,-0.05519,-0.219159
2,0.08,2.967,0.131538,-1.884916,0.210076,-1.346,-1.968117,-0.041934,0.886315,0.7874,-0.227,1.396,0.478034,0.591434,-0.148111,0.111,1.008334,0.415466,-0.213111,0.307934,1.4431,-0.0244,-0.213111,2.975331,0.17464,-1.900222,0.16606,-1.351645,-1.99923,0.028869,0.814656,0.78507,-0.227,1.353415,0.40736,0.510289,-0.161794,0.117132,0.930345,0.478737,-0.226999,0.176866,1.417767,-0.099793,-0.220898
3,0.56,2.947048,0.111622,-1.871848,0.229527,-1.332124,-1.948368,-0.091927,0.914302,0.759622,-0.227,1.396,0.527866,0.641302,-0.120333,0.083222,1.05833,0.365989,-0.185333,0.294541,1.415322,-0.045288,-0.185333,2.974988,0.164075,-1.897021,0.176214,-1.347914,-1.990406,0.011801,0.824349,0.768528,-0.227,1.364417,0.424175,0.529284,-0.158057,0.11599,0.927521,0.431742,-0.2239,0.144541,1.401127,-0.138229,-0.218682
4,1.75,2.927118,0.091672,-1.866095,0.248281,-1.332138,-1.930626,-0.141881,0.9284,0.717955,-0.227,1.396,0.577588,0.691196,-0.078666,0.041555,1.077135,0.318553,-0.143666,0.25069,1.373655,-0.052286,-0.143666,2.96937,0.151452,-1.891717,0.187308,-1.339851,-1.978683,-0.01306,0.838865,0.751015,-0.227,1.373361,0.449102,0.555741,-0.148702,0.1,0.927135,0.375384,-0.214746,0.10069,1.374909,-0.179301,-0.210223
5,3.64,2.907648,0.071759,-1.87423,0.266978,-1.34604,-1.926773,-0.191439,0.930313,0.670306,-0.227,1.396,0.62333,0.736848,-0.044154,0.013107,1.087953,0.285006,-0.094373,0.197231,1.345877,-0.045396,-0.093719,2.960077,0.137995,-1.885756,0.199773,-1.333577,-1.965637,-0.044104,0.859653,0.741736,-0.227,1.379873,0.480045,0.586848,-0.131871,0.079657,0.937953,0.331732,-0.197751,0.047231,1.3326,-0.188674,-0.193845
6,5.04,2.902067,0.065696,-1.877878,0.286484,-1.34957,-1.936808,-0.227108,0.923472,0.621303,-0.227,1.396,0.664954,0.770458,-0.023531,-0.001453,1.112473,0.265348,-0.04651,0.161526,1.331988,-0.024617,-0.045247,2.948001,0.123771,-1.882568,0.216424,-1.334445,-1.954969,-0.07965,0.88094,0.7323,-0.22699,1.384717,0.514954,0.620458,-0.111034,0.05671,0.962473,0.309187,-0.172832,0.011526,1.313372,-0.174449,-0.169562
7,6.3,2.910375,0.072791,-1.877535,0.306039,-1.360775,-1.956038,-0.248888,0.93052,0.572085,-0.224814,1.396,0.695641,0.792423,-0.016797,-0.002123,1.146046,0.259579,-0.002597,0.106593,1.331988,-0.004178,-0.002368,2.936668,0.110573,-1.881257,0.234153,-1.336066,-1.951612,-0.115186,0.894709,0.712404,-0.226983,1.387707,0.551507,0.654457,-0.090189,0.043029,0.996046,0.296617,-0.142367,-0.043407,1.294053,-0.154178,-0.139764
8,8.87,2.930367,0.089749,-1.868542,0.319091,-1.37297,-1.97579,-0.256778,0.951457,0.542472,-0.227,1.396,0.736721,0.8005,-0.023951,0.010854,1.175039,0.264179,0.041417,0.05358,1.345877,0.008833,0.039931,2.929692,0.10057,-1.881495,0.253276,-1.34209,-1.95471,-0.147168,0.906946,0.692472,-0.226443,1.389817,0.586721,0.686358,-0.073102,0.032429,1.025039,0.283065,-0.108583,-0.09642,1.268375,-0.141167,-0.106911
9,10.42,2.950352,0.101275,-1.860343,0.318255,-1.384564,-1.995776,-0.25078,0.958505,0.532372,-0.227,1.396,0.767739,0.794688,-0.044995,0.021076,1.186565,0.25489,0.078326,0.016449,1.373655,0.017417,0.078091,2.92886,0.094471,-1.880862,0.271105,-1.351239,-1.962083,-0.151737,0.920753,0.682372,-0.226544,1.393891,0.626205,0.704116,-0.062545,0.024565,1.036565,0.262515,-0.071674,-0.133551,1.240513,-0.132583,-0.071909
10,11.08,2.966852,0.106597,-1.862134,0.30353,-1.386769,-2.015749,-0.230893,0.951664,0.522964,-0.227,1.396,0.784869,0.774986,-0.079927,0.026373,1.199226,0.231712,0.107451,0.002595,1.374252,-0.004992,0.104964,2.933865,0.092507,-1.878426,0.283855,-1.362385,-1.97329,-0.153044,0.932354,0.672964,-0.226619,1.392978,0.661271,0.726706,-0.059309,0.021134,1.049226,0.240248,-0.034932,-0.147405,1.224252,-0.154992,-0.036055
11,11.42,2.970634,0.114201,-1.856528,0.284704,-1.39984,-2.035474,-0.197117,0.930934,0.524641,-0.227,1.396,0.78811,0.741396,-0.116027,0.04556,1.212407,0.194645,0.145749,0.008076,1.376535,-0.05148,0.117949,2.942528,0.093172,-1.875702,0.289216,-1.37096,-1.987164,-0.152775,0.938145,0.674641,-0.226662,1.388699,0.693867,0.72983,-0.065353,0.019892,1.062407,0.215894,-4.1e-05,-0.141924,1.226535,-0.20148,-0.002549
12,10.75,2.960526,0.107917,-1.846758,0.268211,-1.415584,-2.041767,-0.153818,0.924093,0.518734,-0.227,1.396,0.777461,0.7026,-0.138239,0.078636,1.230834,0.149639,0.185579,0.03619,1.391095,-0.066646,0.144823,2.949401,0.09457,-1.873684,0.287138,-1.380884,-2.003699,-0.151459,0.946975,0.668734,-0.226704,1.383196,0.721277,0.711124,-0.078197,0.023018,1.080834,0.18218,0.035579,-0.11381,1.241095,-0.216593,0.026178
13,10.18,2.953767,0.089358,-1.850877,0.253445,-1.429342,-2.04711,-0.124408,0.931141,0.510769,-0.227,1.396,0.752924,0.655402,-0.146561,0.105733,1.255128,0.105766,0.222048,0.061866,1.374102,-0.0957,0.185585,2.953436,0.095787,-1.868924,0.278887,-1.392184,-2.016624,-0.149624,0.95719,0.660769,-0.226739,1.386303,0.736721,0.707591,-0.092845,0.020977,1.105128,0.134623,0.072048,-0.088134,1.224102,-0.202082,0.054595
14,9.99,2.960896,0.084689,-1.84149,0.237461,-1.442243,-2.055653,-0.108887,0.952078,0.495939,-0.227,1.396,0.742276,0.609595,-0.140994,0.118941,1.284775,0.060227,0.258151,0.097377,1.378317,-0.127707,0.234941,2.954849,0.095021,-1.86406,0.26892,-1.404143,-2.027924,-0.143974,0.971771,0.645939,-0.226775,1.390164,0.741476,0.693767,-0.105383,0.024246,1.134775,0.08169,0.108151,-0.052623,1.228317,-0.1898,0.086226
