step,unscrew_deg,arm_cmd_j1,arm_cmd_j2,arm_cmd_j3,arm_cmd_j4,arm_cmd_j5,arm_cmd_j6,hand_cmd_0,hand_cmd_1,hand_cmd_2,hand_cmd_3,hand_cmd_4,hand_cmd_5,hand_cmd_6,hand_cmd_7,hand_cmd_8,hand_cmd_9,hand_cmd_10,hand_cmd_11,hand_cmd_12,hand_cmd_13,hand_cmd_14,hand_cmd_15,arm_q_j1,arm_q_j2,arm_q_j3,arm_q_j4,arm_q_j5,arm_q_j6,hand_q_0,hand_q_1,hand_q_2,hand_q_3,hand_q_4,hand_q_5,hand_q_6,hand_q_7,hand_q_8,hand_q_9,hand_q_10,hand_q_11,hand_q_12,hand_q_13,hand_q_14,hand_q_15
0,0.0,0.092962,0.187198,1.606133,3.076955,-1.580081,-2.648362,0.223964,1.25978,-0.125245,0.213614,1.233584,0.268487,0.507504,-0.162,0.204313,0.971531,0.158878,0.000375,0.388473,1.263447,0.172512,-0.179423,0.072962,0.167198,1.586133,3.056955,-1.560081,-2.668362,0.273964,1.20978,-0.174,0.263614,1.183584,0.218487,0.457504,-0.162,0.254313,1.02153,0.108878,-0.049625,0.338473,1.313447,0.122512,-0.227
1,2.46,0.096216,0.167453,1.586183,3.071096,-1.560109,-2.628777,0.248305,1.209937,-0.167987,0.263588,1.283502,0.287465,0.555733,-0.162,0.154625,1.003103,0.201817,0.05016,0.438313,1.288092,0.207576,-0.227,0.076637,0.169992,1.591424,3.062281,-1.563342,-2.663212,0.267454,1.177431,-0.170706,0.251544,1.198861,0.22996,0.466557,-0.160077,0.241154,0.994019,0.112037,-0.038359,0.326707,1.277942,0.082008,-0.215308
2,7.68,0.101066,0.148754,1.566238,3.073009,-1.540181,-2.609033,0.271937,1.159998,-0.174,0.313539,1.333295,0.310702,0.599825,-0.162,0.106362,1.030899,0.247275,0.099858,0.460821,1.283719,0.222674,-0.227,0.08224,0.172904,1.59196,3.064269,-1.560503,-2.652095,0.262817,1.183139,-0.172862,0.254438,1.218421,0.24398,0.485399,-0.160441,0.225197,0.972269,0.132983,-0.017104,0.310821,1.258886,0.072674,-0.218422
3,9.55,0.105938,0.159441,1.546373,3.065133,-1.520375,-2.589119,0.277272,1.110447,-0.174,0.363419,1.382933,0.324835,0.637525,-0.162,0.070162,1.02399,0.287806,0.149092,0.451211,1.243788,0.231202,-0.227,0.08804,0.171938,1.587305,3.067164,-1.552653,-2.637542,0.264956,1.181625,-0.169728,0.268669,1.239094,0.26052,0.487525,-0.161172,0.196203,0.97447,0.14375,0.011137,0.301211,1.255235,0.081202,-0.221126
4,12.42,0.122671,0.17875,1.52763,3.083678,-1.501053,-2.569154,0.2296,1.060549,-0.174,0.412143,1.396,0.28023,0.615696,-0.162,0.09634,1.051789,0.310311,0.169802,0.459334,1.272673,0.250801,-0.227,0.093061,0.171055,1.577509,3.067417,-1.542316,-2.620643,0.267901,1.170593,-0.163844,0.291486,1.248163,0.276752,0.465696,-0.161991,0.164644,0.97696,0.160311,0.044792,0.309334,1.250748,0.100801,-0.223393
5,17.4,0.137821,0.198147,1.513867,3.102147,-1.481635,-2.549194,0.179751,1.010796,-0.174,0.458557,1.396,0.235799,0.580424,-0.162,0.141264,1.083263,0.321007,0.182524,0.47,1.313374,0.259651,-0.227,0.100514,0.173758,1.563548,3.0737,-1.527083,-2.602965,0.258658,1.147624,-0.162408,0.320536,1.267011,0.278233,0.430424,-0.162019,0.146924,0.988034,0.190087,0.075575,0.337613,1.246288,0.109651,-0.224756
6,20.35,0.154987,0.209168,1.500907,3.121868,-1.462164,-2.529227,0.132076,0.968887,-0.174,0.503767,1.396,0.189644,0.55641,-0.162,0.190648,1.114515,0.34919,0.157584,0.47,1.277844,0.269532,-0.227,0.109499,0.180331,1.54946,3.084108,-1.511397,-2.584793,0.239637,1.118887,-0.160685,0.353767,1.286187,0.26776,0.40641,-0.162026,0.1443,0.991185,0.206909,0.101736,0.33997,1.250786,0.119532,-0.225923
7,23.8,0.159812,0.221914,1.488057,3.140622,-1.442697,-2.509266,0.086014,0.935165,-0.174,0.539878,1.396,0.165832,0.535534,-0.162,0.240177,1.13866,0.363253,0.176476,0.47,1.242718,0.287603,-0.227,0.121889,0.189421,1.535021,3.097177,-1.493247,-2.566014,0.213716,1.085165,-0.161825,0.389878,1.305319,0.247688,0.385534,-0.162025,0.154778,0.994247,0.213253,0.115655,0.344793,1.247354,0.137603,-0.22662
8,27.84,0.158737,0.234734,1.47908,3.158796,-1.423384,-2.489304,0.03651,0.900434,-0.174,0.575988,1.396,0.131314,0.52179,-0.162,0.289928,1.137529,0.362318,0.202286,0.47,1.253429,0.298516,-0.227,0.133186,0.199898,1.520736,3.111423,-1.474214,-2.547122,0.182987,1.050434,-0.164279,0.425988,1.323339,0.226124,0.37179,-0.162014,0.174868,0.987529,0.218423,0.13089,0.366602,1.234917,0.148516,-0.226782
9,32.05,0.150023,0.244665,1.468231,3.17474,-1.404341,-2.469345,-0.002246,0.886032,-0.152736,0.611993,1.396,0.102288,0.522778,-0.162,0.339414,1.1249,0.344141,0.242949,0.47,1.292704,0.296311,-0.227,0.141206,0.21121,1.50769,3.126121,-1.454894,-2.52789,0.147754,1.014658,-0.167686,0.462096,1.340699,0.201415,0.372778,-0.162009,0.202741,0.9749,0.211607,0.148657,0.392304,1.220083,0.146311,-0.226662
