step,unscrew_deg,arm_cmd_j1,arm_cmd_j2,arm_cmd_j3,arm_cmd_j4,arm_cmd_j5,arm_cmd_j6,hand_cmd_0,hand_cmd_1,hand_cmd_2,hand_cmd_3,hand_cmd_4,hand_cmd_5,hand_cmd_6,hand_cmd_7,hand_cmd_8,hand_cmd_9,hand_cmd_10,hand_cmd_11,hand_cmd_12,hand_cmd_13,hand_cmd_14,hand_cmd_15,arm_q_j1,arm_q_j2,arm_q_j3,arm_q_j4,arm_q_j5,arm_q_j6,hand_q_0,hand_q_1,hand_q_2,hand_q_3,hand_q_4,hand_q_5,hand_q_6,hand_q_7,hand_q_8,hand_q_9,hand_q_10,hand_q_11,hand_q_12,hand_q_13,hand_q_14,hand_q_15
0,0.0,0.086851,0.153309,1.572244,3.043066,-1.546192,-2.654473,0.287853,1.195891,-0.160111,0.277503,1.197473,0.204598,0.471393,-0.162,0.240424,1.035419,0.094989,-0.035736,0.352362,1.327336,0.108623,-0.227,0.072962,0.167198,1.586133,3.056955,-1.560081,-2.668362,0.273964,1.20978,-0.174,0.263614,1.183584,0.218487,0.457504,-0.162,0.254313,1.02153,0.108878,-0.049625,0.338473,1.313447,0.122512,-0.227
1,-0.0,0.086851,0.153309,1.552265,3.023176,-1.526266,-2.654473,0.287853,1.168113,-0.132333,0.305281,1.225251,0.17682,0.471393,-0.162,0.212646,1.063197,0.067211,-0.007958,0.38014,1.327336,0.108623,-0.227,0.07615,0.166305,1.584008,3.052212,-1.554074,-2.663466,0.287512,1.200956,-0.167771,0.266946,1.187798,0.215454,0.457945,-0.161833,0.249649,1.02914,0.107362,-0.046214,0.325638,1.311516,0.111272,-0.227013
2,-0.01,0.072962,0.167198,1.532271,3.004039,-1.506273,-2.668362,0.273964,1.126446,-0.090666,0.324518,1.266918,0.135153,0.457504,-0.148111,0.198757,1.104864,0.025544,0.033709,0.421807,1.341225,0.122512,-0.227,0.079691,0.165303,1.576531,3.043668,-1.546673,-2.659944,0.287609,1.200011,-0.150418,0.276184,1.188036,0.205639,0.421696,-0.162018,0.239094,1.04204,0.101534,-0.036685,0.337283,1.317223,0.122017,-0.227029
3,-0.02,0.052962,0.183565,1.512317,2.99879,-1.486335,-2.672356,0.246186,1.08359,-0.040669,0.329865,1.30261,0.085161,0.457504,-0.148111,0.198757,1.154863,-0.024453,0.061487,0.47,1.369003,0.122512,-0.227,0.078931,0.166946,1.564273,3.032086,-1.537351,-2.6617,0.284408,1.188599,-0.127908,0.287829,1.15261,0.186153,0.364165,-0.159322,0.226933,1.059086,0.086582,-0.019128,0.35535,1.322628,0.131366,-0.227064
4,-0.08,0.033528,0.195933,1.492833,3.007431,-1.467677,-2.662462,0.232297,1.054622,0.009322,0.321324,1.263227,0.035163,0.467255,-0.162,0.212646,1.204745,-0.074159,0.075375,0.47,1.41067,0.108623,-0.227,0.072617,0.172442,1.549425,3.022675,-1.52603,-2.664813,0.275319,1.167906,-0.10168,0.297954,1.113227,0.157575,0.317255,-0.157209,0.217072,1.082034,0.061642,0.000526,0.379914,1.331597,0.135437,-0.227045
5,-0.2,0.027983,0.211044,1.476663,3.027431,-1.448429,-2.642464,0.232297,1.039543,0.059299,0.298894,1.217463,-0.014787,0.437704,-0.162,0.240424,1.254241,-0.120435,0.075375,0.47,1.439813,0.080845,-0.227,0.062467,0.180615,1.533281,3.019322,-1.513189,-2.664366,0.265066,1.14289,-0.07363,0.303581,1.067463,0.122123,0.287704,-0.158824,0.212182,1.109832,0.029565,0.018313,0.397838,1.346532,0.132262,-0.22703
6,-0.31,0.036326,0.22669,1.468451,3.047431,-1.429882,-2.622464,0.246186,1.038353,0.10577,0.273936,1.178172,-0.054417,0.431549,-0.162,0.282091,1.294723,-0.158901,0.061487,0.47,1.482845,0.039178,-0.227,0.052531,0.190332,1.516714,3.022965,-1.496577,-2.657882,0.257251,1.117474,-0.04423,0.30245,1.028172,0.084491,0.281549,-0.159798,0.216075,1.144723,-0.008901,0.031477,0.409419,1.363981,0.133616,-0.227062
7,-0.34,0.056176,0.239371,1.459286,3.06743,-1.418268,-2.602464,0.273964,1.051052,0.134829,0.252586,1.156806,-0.080158,0.446101,-0.162,0.332072,1.336831,-0.174,0.033709,0.47,1.532815,0.010507,-0.227,0.046809,0.200258,1.502537,3.031444,-1.476898,-2.646919,0.254636,1.094777,-0.015171,0.295578,1.006806,0.048444,0.296101,-0.160272,0.229965,1.186831,-0.03999,0.038122,0.419474,1.385405,0.160507,-0.226962
8,-0.35,0.075679,0.238164,1.462889,3.08743,-1.420542,-2.582464,0.315631,1.07764,0.166466,0.245126,1.154487,-0.092009,0.463354,-0.162,0.381815,1.374225,-0.174,-0.007958,0.47,1.572056,-0.01965,-0.227,0.047032,0.211641,1.489174,3.044154,-1.457208,-2.632948,0.259242,1.08192,0.016466,0.285224,1.004487,0.014939,0.313354,-0.160674,0.252827,1.224225,-0.071203,0.036476,0.430246,1.422056,0.13035,-0.226785
9,-0.36,0.094318,0.232056,1.472683,3.10743,-1.436706,-2.562464,0.35406,1.118117,0.195623,0.251555,1.166233,-0.089972,0.485685,-0.162,0.431587,1.410789,-0.174,-0.035736,0.47,1.607282,-0.057979,-0.227,0.053612,0.221158,1.481101,3.058178,-1.442985,-2.619076,0.270393,1.047068,0.045623,0.275563,1.016233,-0.013266,0.335685,-0.158967,0.283937,1.260789,-0.097325,0.024088,0.439685,1.457282,0.092021,-0.225297
