step,raw_index,raw_thumb,raw_middle,raw_ring,filt_index,filt_thumb,filt_middle,filt_ring,level_index,level_thumb,level_middle,level_ring
0,0.0,3.456,0.0,4.484,0.0,1.037,0.0,1.345,0,0,0,0
1,0.0,3.709,0.0,0.086,0.0,1.838,0.0,0.968,0,0,0,0
2,0.0,0.422,0.0,0.0,0.0,1.414,0.0,0.677,0,0,0,0
3,0.0,0.077,0.0,4.17,0.0,1.013,0.0,1.725,0,0,0,0
4,0.0,0.0,0.0,13.704,0.0,0.709,0.0,5.319,0,0,0,1
5,0.0,0.574,0.0,17.61,0.0,0.668,0.0,9.006,0,0,0,2
6,0.0,1.665,2.645,13.805,0.0,0.967,0.793,10.446,0,0,0,2
7,0.0,0.0,0.287,14.826,0.0,0.677,0.641,11.76,0,0,0,2
8,0.0,0.0,0.0,0.0,0.0,0.474,0.449,8.232,0,0,0,2
9,0.0,0.0,0.0,0.0,0.0,0.332,0.314,5.762,0,0,0,1
10,0.0,0.0,0.0,0.0,0.0,0.232,0.22,4.034,0,0,0,1
11,0.0,0.0,0.0,0.0,0.0,0.163,0.154,2.824,0,0,0,0
12,0.0,0.0,0.0,0.0,0.0,0.114,0.108,1.977,0,0,0,0
13,0.0,0.0,0.0,0.0,0.0,0.08,0.075,1.384,0,0,0,0
14,0.0,0.0,0.0,0.0,0.0,0.056,0.053,0.968,0,0,0,0
15,0.0,0.0,0.0,0.0,0.0,0.039,0.037,0.678,0,0,0,0
16,0.0,0.0,0.0,0.0,0.0,0.027,0.026,0.475,0,0,0,0
17,0.053,0.0,1.059,0.0,0.016,0.019,0.336,0.332,0,0,0,0
18,5.628,7.887,1.387,0.0,1.699,2.379,0.651,0.233,0,0,0,0
19,5.03,4.52,2.388,0.0,2.698,3.022,1.172,0.163,0,0,0,0
20,4.185,5.323,2.135,0.0,3.144,3.712,1.461,0.114,0,0,0,0
21,3.698,6.709,5.985,0.603,3.31,4.611,2.818,0.261,0,1,0,0
22,0.485,5.182,13.633,16.606,2.463,4.782,6.063,5.164,0,1,1,1
23,9.109,3.314,3.354,18.284,4.457,4.342,5.25,9.1,1,1,1,2
24,4.365,2.884,7.926,22.405,4.429,3.904,6.053,13.091,1,0,1,3
25,5.784,2.992,5.142,19.451,4.836,3.631,5.78,14.999,1,0,1,3
26,5.23,1.344,3.314,16.945,4.954,2.945,5.04,15.583,1,0,1,3
27,0.0,0.0,1.553,19.611,3.468,2.061,3.994,16.791,0,0,0,4
28,2.28,1.993,1.749,0.217,3.111,2.041,3.32,11.819,0,0,0,2
29,3.589,4.307,1.852,17.722,3.255,2.721,2.88,13.59,0,0,0,3
30,6.66,13.572,3.136,16.299,4.276,5.976,2.957,14.403,1,1,0,3
31,6.367,10.833,3.928,16.753,4.904,7.433,3.248,15.108,1,1,0,3
32,5.817,13.2,2.363,18.168,5.178,9.163,2.983,16.026,1,2,0,4
33,6.101,8.069,1.314,9.377,5.455,8.835,2.482,14.031,1,2,0,3
34,4.994,5.15,1.299,8.711,5.316,7.729,2.127,12.435,1,1,0,3
35,3.962,3.972,1.417,11.309,4.91,6.602,1.914,12.097,1,1,0,3
36,4.179,4.736,1.983,9.925,4.691,6.042,1.935,11.446,1,1,0,2
37,5.916,3.555,1.907,9.61,5.058,5.296,1.926,10.895,1,1,0,2
38,6.915,0.365,2.409,12.329,5.615,3.817,2.071,11.325,1,0,0,2
39,3.078,1.815,5.553,10.451,4.854,3.216,3.116,11.063,1,0,0,2
40,4.022,1.895,11.284,7.322,4.605,2.82,5.566,9.941,1,0,1,2
41,6.122,1.185,2.523,6.595,5.06,2.33,4.653,8.937,1,0,1,2
42,4.723,4.535,3.012,10.971,4.959,2.991,4.161,9.547,1,0,1,2
43,5.031,5.996,3.018,7.017,4.98,3.893,3.818,8.788,1,0,0,2
44,4.14,4.841,1.964,0.71,4.728,4.177,3.262,6.365,1,1,0,1
45,3.772,3.554,3.192,2.463,4.441,3.99,3.241,5.194,1,0,0,1
46,2.445,5.962,4.261,2.445,3.843,4.582,3.547,4.37,0,1,0,1
47,3.372,4.635,2.695,4.061,3.701,4.598,3.291,4.277,0,1,0,1
48,3.024,3.666,2.377,3.855,3.498,4.318,3.017,4.15,0,1,0,1
49,1.44,3.477,3.835,6.183,2.881,4.066,3.262,4.76,0,1,0,1
50,0.0,1.449,2.297,11.563,2.016,3.281,2.973,6.801,0,0,0,1
51,3.654,0.246,3.848,6.274,2.508,2.37,3.235,6.643,0,0,0,1
52,0.0,0.307,3.396,14.356,1.755,1.751,3.284,8.957,0,0,0,2
53,4.885,1.921,2.784,11.259,2.694,1.802,3.134,9.648,0,0,0,2
54,5.214,6.235,2.608,14.474,3.45,3.132,2.976,11.096,0,0,0,2
55,6.128,1.147,1.045,7.063,4.254,2.537,2.397,9.886,1,0,0,2
