step,level_index_c_dist,level_index_c_prox,level_index_ny_dist,level_index_ny_prox,level_index_py_dist,level_index_py_prox,level_thumb_c_dist,level_thumb_c_prox,level_thumb_ny_dist,level_thumb_ny_prox,level_thumb_py_dist,level_thumb_py_prox,level_middle_c_dist,level_middle_c_prox,level_middle_ny_dist,level_middle_ny_prox,level_middle_py_dist,level_middle_py_prox,level_ring_c_dist,level_ring_c_prox,level_ring_ny_dist,level_ring_ny_prox,level_ring_py_dist,level_ring_py_prox,filt_index_c_dist,filt_index_c_prox,filt_index_ny_dist,filt_index_ny_prox,filt_index_py_dist,filt_index_py_prox,filt_thumb_c_dist,filt_thumb_c_prox,filt_thumb_ny_dist,filt_thumb_ny_prox,filt_thumb_py_dist,filt_thumb_py_prox,filt_middle_c_dist,filt_middle_c_prox,filt_middle_ny_dist,filt_middle_ny_prox,filt_middle_py_dist,filt_middle_py_prox,filt_ring_c_dist,filt_ring_c_prox,filt_ring_ny_dist,filt_ring_ny_prox,filt_ring_py_dist,filt_ring_py_prox,tot_index,tot_thumb,tot_middle,tot_ring
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.0,0.45,0.33,0.33,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.09,0.0,0.0,0.07,0.0,5.5,0.0,0.0,2.6
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.0,1.0,0.58,0.82,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.06,0.0,0.0,0.05,0.0,7.4,0.0,0.0,0.0
2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.0,1.9,0.92,1.73,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.05,0.0,0.0,0.03,0.0,12.4,0.0,0.0,0.0
3,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.0,2.33,1.17,2.22,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.03,0.0,0.0,0.02,0.0,10.6,0.0,0.0,0.0
4,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.0,1.77,0.97,1.68,1.31,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.01,0.15,0.02,0.0,0.0,0.02,0.0,2.0,0.1,1.0,0.0
5,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.0,1.32,0.78,1.23,1.01,0.32,0.01,0.85,0.06,0.0,0.0,0.09,0.79,0.0,0.11,0.0,0.4,0.1,0.02,0.0,0.0,0.01,0.0,1.2,4.1,3.9,0.0
6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.01,1.03,0.67,0.9,0.78,0.47,0.01,1.25,0.06,0.0,0.0,0.18,0.89,0.0,0.32,0.0,0.93,0.07,0.01,0.0,0.0,0.01,0.0,1.3,3.1,4.5,0.0
7,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.11,0.04,1.07,0.86,0.79,0.79,0.33,0.01,0.88,0.04,0.0,0.0,0.14,1.45,0.0,0.33,0.0,0.98,0.05,0.01,0.0,0.0,0.01,0.0,4.1,0.0,4.2,0.0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.11,0.05,0.84,0.7,0.61,0.62,0.23,0.15,0.61,0.32,0.0,0.0,0.16,1.34,0.0,0.67,0.0,1.29,0.56,0.02,0.0,0.0,0.83,0.01,1.2,1.5,4.7,4.6
9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0.08,0.04,0.59,0.49,0.43,0.43,0.16,0.11,0.43,0.22,0.0,0.0,0.11,1.09,0.0,1.08,0.0,1.34,0.87,0.02,0.0,0.0,1.35,0.01,0.0,0.0,4.0,4.2
