step,cap_deg,ix_j0,ix_j1,ix_j2,ix_j3,th_j0,th_j1,th_j2,th_j3,mi_j0,mi_j1,mi_j2,mi_j3,ri_j0,ri_j1,ri_j2,ri_j3
0,0.0,0.07883,1.236008,-0.010687,-0.183257,1.248891,0.02524,0.432841,-0.153742,0.189307,1.270001,0.053449,-0.129705,0.40033,1.596111,-0.024014,-0.213111
1,1.21,0.07883,1.236008,-0.032459,-0.211035,1.248891,0.053018,0.405064,-0.159372,0.189307,1.297778,0.081226,-0.101927,0.428108,1.568333,-0.051792,-0.185333
2,1.94,0.092719,1.249897,-0.068121,-0.227,1.26278,0.094685,0.372002,-0.162,0.203196,1.339445,0.122893,-0.06026,0.469775,1.526666,-0.066931,-0.143666
3,3.39,0.092719,1.277675,-0.117671,-0.227,1.290558,0.13006,0.35283,-0.162,0.230974,1.389383,0.172682,-0.010324,0.47,1.480554,-0.068181,-0.094295
4,3.82,0.07883,1.319342,-0.165431,-0.227,1.332225,0.171188,0.347546,-0.162,0.272641,1.438497,0.208581,0.033497,0.458357,1.44833,-0.055542,-0.058814
5,7.96,0.051052,1.360802,-0.174,-0.227,1.379464,0.218668,0.356151,-0.162,0.297416,1.454572,0.218904,0.078314,0.429785,1.427526,-0.029014,-0.037221
6,13.71,0.009385,1.400939,-0.174,-0.227,1.396,0.257088,0.378646,-0.162,0.255534,1.448511,0.207221,0.125863,0.392935,1.416771,0.011403,-0.016872
7,20.78,-0.039048,1.441768,-0.174,-0.227,1.396,0.292791,0.415029,-0.162,0.209769,1.444544,0.197998,0.162136,0.365625,1.419905,0.054227,0.015284
8,25.52,-0.08699,1.473927,-0.174,-0.227,1.396,0.32851,0.463193,-0.162,0.198522,1.436587,0.17397,0.198411,0.322688,1.436927,0.063255,0.061328
9,27.59,-0.134635,1.511807,-0.174,-0.227,1.396,0.364423,0.509479,-0.162,0.180276,1.432749,0.163897,0.23456,0.310053,1.467839,0.041257,0.097663
10,31.42,-0.176708,1.541997,-0.174,-0.227,1.396,0.400404,0.543322,-0.162,0.169061,1.426631,0.153627,0.270715,0.291033,1.506352,0.033671,0.123992
11,34.5,-0.212753,1.566368,-0.174,-0.227,1.396,0.436563,0.577993,-0.162,0.157296,1.418325,0.142691,0.306744,0.265834,1.537671,0.018257,0.136432
12,35.34,-0.248742,1.580778,-0.174,-0.227,1.396,0.472852,0.607997,-0.162,0.166284,1.419723,0.123794,0.342671,0.294291,1.543045,-0.013856,0.134984
13,35.51,-0.278029,1.581299,-0.174,-0.227,1.396,0.5096,0.625328,-0.162,0.161871,1.418321,0.091007,0.36682,0.287705,1.550446,-0.037253,0.121475
14,35.92,-0.263104,1.595709,-0.174,-0.227,1.396,0.541555,0.634667,-0.162,0.177459,1.439683,0.062998,0.37708,0.305248,1.56267,-0.044368,0.121856
15,36.64,-0.263973,1.61,-0.174,-0.227,1.396,0.559621,0.62621,-0.162,0.175452,1.468055,0.0211,0.401229,0.310007,1.572125,-0.042219,0.136126
16,36.84,-0.26357,1.61,-0.174,-0.227,1.396,0.580892,0.603657,-0.162,0.174531,1.489991,-0.026045,0.439267,0.308574,1.585006,-0.046544,0.164285
17,36.82,-0.265442,1.61,-0.174,-0.227,1.396,0.589442,0.588295,-0.162,0.172584,1.52008,-0.063647,0.484508,0.306942,1.595007,-0.063297,0.181065
18,36.94,-0.258226,1.61,-0.174,-0.227,1.361477,0.611882,0.592275,-0.162,0.178658,1.534072,-0.093124,0.51586,0.311099,1.599582,-0.052984,0.190283
19,37.21,-0.24962,1.61,-0.174,-0.227,1.311938,0.64821,0.608071,-0.162,0.185484,1.550881,-0.108711,0.533323,0.31581,1.608553,-0.039188,0.201758
20,37.71,-0.243366,1.61,-0.174,-0.227,1.29767,0.67065,0.609293,-0.162,0.191425,1.550314,-0.117932,0.553519,0.318641,1.61,-0.036404,0.226767
21,38.0,-0.240734,1.61,-0.174,-0.227,1.275623,0.690229,0.616139,-0.162,0.195103,1.563881,-0.129095,0.559826,0.325119,1.607389,-0.029787,0.246149
22,38.67,-0.236064,1.61,-0.174,-0.227,1.260432,0.717261,0.624744,-0.162,0.199136,1.563577,-0.128135,0.552244,0.328219,1.607027,-0.035856,0.274171
